id_cliente,nombre_cliente,ciudad,fecha_registro,edad,plan_contratado,antiguedad_meses,uso_datos_gb,num_llamadas_soporte,cargo_mensual,satisfaccion_cliente,valor_vida_cliente,abandono
NC-00001,Albano Llopis Hierro,Alicante,2023-12-04,56,Basico,31,16.4,4,30.13,4,1321.71,No
NC-00002,Buenaventura de Bonet,Badajoz,2026-05-11,69,Estandar,2,48.2,1,45.18,8,174.05,Si
NC-00003,Ileana Antón-Andrés,Valencia,2025-05-09,46,Estandar,14,51.0,2,59.5,6,844.68,Si
NC-00004,César Guerrero Vazquez,Palencia,2021-09-27,32,Estandar,57,31.4,1,63.76,8,4427.04,No
NC-00005,Alba Mar Flor Rivas,Jaén,2023-04-09,60,Estandar,39,44.3,2,59.46,7,3024.14,No
NC-00006,Jacobo del Agudo,Huesca,2023-10-13,25,Basico,33,19.7,3,35.55,6,1598.45,No
NC-00007,Paco Rocamora Nieto,Melilla,2022-05-02,38,Estandar,50,30.1,4,62.7,6,3855.85,No
NC-00008,Casemiro Garrido-Navarro,Jaén,2026-02-15,56,Premium,5,119.7,0,95.2,9,1574.97,No
NC-00009,Arturo Pinto Caballero,Melilla,2025-01-23,36,Basico,17,21.6,0,29.56,9,508.2,Si
NC-00010,Soraya Núñez Lamas,Huelva,2022-12-06,40,Estandar,43,66.3,2,62.4,6,3430.52,No
NC-00011,Pánfilo Segovia Casanovas,Madrid,2026-05-16,28,Basico,2,15.9,1,32.48,7,50.0,Si
NC-00012,Ani Marcos Pardo,Pontevedra,2025-09-13,28,Estandar,10,,6,59.51,4,568.14,Si
NC-00013,Celia Baños-Arroyo,Málaga,2024-12-19,41,Estandar,18,48.3,3,60.31,6,1810.27,No
NC-00014,Rolando del Bernal,León,2024-11-01,70,Estandar,20,48.0,1,56.06,7,1088.41,Si
NC-00015,Toribio de Pinto,Ceuta,2022-04-09,53,Basico,51,19.5,3,35.7,8,2259.8,No
NC-00016,Javi Patiño-Cánovas,Málaga,2022-09-10,57,Estandar,46,47.8,2,62.78,8,3609.38,No
NC-00017,Felicidad Gallego Lasa,Castellón,2021-09-16,41,Basico,58,14.6,1,24.78,8,1742.28,No
NC-00018,Marco Donoso Hierro,Cádiz,2023-02-01,20,Basico,41,19.9,4,30.04,4,1557.6,No
NC-00019,Jerónimo Pino Lerma,Huesca,2022-02-19,39,Basico,52,10.7,3,31.54,7,1984.16,No
NC-00020,Constanza del Barba,Sevilla,2022-10-21,70,Basico,44,15.0,1,28.83,7,1543.61,No
NC-00021,Segismundo de Moles,La Rioja,2022-06-05,19,Estandar,49,55.6,6,63.75,4,3883.94,No
NC-00022,Edelmira Batalla Galván,Toledo,2024-04-25,41,Estandar,26,27.5,2,57.42,6,1536.54,Si
NC-00023,Valentina Miranda-Garcia,Lugo,2021-09-04,61,Estandar,58,33.2,0,59.17,10,4183.82,No
NC-00024,Gertrudis Segarra Clavero,Lugo,2023-02-02,47,Basico,41,17.7,2,29.77,7,1587.53,No
NC-00025,Buenaventura Huerta-Jódar,Palencia,2023-03-23,55,Premium,39,97.9,3,84.82,8,4265.79,No
NC-00026,Inés Pujol-Paredes,Segovia,2023-05-15,19,Estandar,38,,3,47.87,6,2418.82,No
NC-00027,Bruno del Bou,Albacete,2024-03-15,38,Basico,28,13.3,4,34.28,7,1377.97,No
NC-00028,Tito Canals Coronado,Alicante,2022-04-26,50,Premium,50,66.4,0,92.97,8,4636.3,Si
NC-00029,Ruy Roca Bartolomé,Ourense,2023-01-04,29,Premium,42,109.6,2,98.15,5,5336.32,No
NC-00030,Francisca Solé Ángel,Barcelona,2026-02-08,39,Basico,5,14.0,2,32.07,5,178.81,Si
NC-00031,Leonel Alberdi-Carbó,Ourense,2023-07-12,61,Basico,36,22.2,2,33.29,8,1656.77,No
NC-00032,Pili del Nieto,Almería,2024-01-01,42,Premium,30,91.6,1,99.01,7,4116.25,No
NC-00033,Eugenio Royo Cruz,Córdoba,2022-03-25,66,Estandar,51,37.8,3,61.0,5,3071.18,Si
NC-00034,Abril Lago Valle,Melilla,2023-10-17,44,Basico,33,13.7,4,36.57,7,1172.04,Si
NC-00035,José Luis Camino Martín,Pontevedra,2023-02-08,59,Estandar,41,37.6,2,59.62,8,3151.31,No
NC-00036,María Fernanda Flor,Toledo,2021-07-10,45,Premium,60,,1,92.72,9,6723.49,No
NC-00037,Glauco Cuéllar Abascal,Ávila,2025-03-13,33,Estandar,16,65.1,2,62.48,5,980.97,Si
NC-00038,Etelvina Laura Aliaga Caparrós,León,2026-05-20,32,Estandar,1,36.6,7,54.48,4,50.0,Si
NC-00039,Valeria Meléndez Heras,Lugo,2023-02-28,64,Premium,40,83.9,2,91.49,7,4770.0,No
NC-00040,Dionisio Bermúdez Boada,Ceuta,2025-01-11,68,Basico,18,15.3,1,32.42,9,997.89,No
NC-00041,Sabina Bayón Casas,Pontevedra,2023-11-15,61,Basico,32,19.4,2,32.76,8,1374.34,No
NC-00042,Narciso Talavera Dalmau,Zamora,2022-12-14,72,Estandar,43,25.8,1,57.05,8,3168.94,No
NC-00043,Juan Luis Rocha-Galán,Salamanca,2026-03-23,69,Premium,3,99.1,6,87.97,5,244.25,Si
NC-00044,Priscila de Mesa,Cáceres,2026-05-29,74,Basico,1,11.7,2,34.35,8,443.48,No
NC-00045,Nazaret Perea Ríos,Lleida,2024-05-16,20,Estandar,26,45.5,2,63.72,8,2463.91,No
NC-00046,Jennifer Carrillo,Ceuta,2022-03-28,54,Estandar,51,35.1,4,66.73,5,4197.5,No
NC-00047,Daniel de Neira,Jaén,2024-04-30,68,Estandar,26,17.0,4,58.91,5,1485.7,Si
NC-00048,Macario Grau Giménez,Badajoz,2026-01-14,24,Estandar,6,43.7,0,59.38,7,312.06,Si
NC-00049,Andrés Felipe Barral Granados,Cantabria,2023-09-18,38,Premium,34,97.2,3,89.65,5,4123.03,No
NC-00050,Víctor Angulo Murillo,Burgos,2024-12-13,26,Estandar,19,34.2,5,65.88,5,1241.69,Si
NC-00051,José Ángel Gárate Lopez,Cádiz,2025-02-28,56,Estandar,16,33.6,1,59.6,8,955.38,Si
NC-00052,Clotilde Catalán Suárez,Salamanca,2026-01-02,35,Basico,6,9.8,5,31.95,4,179.66,Si
NC-00053,Ruben del Ramírez,Zamora,2022-03-14,21,Estandar,52,47.7,3,58.5,7,3781.24,No
NC-00054,Asdrubal Caballero,Ávila,2024-04-04,42,Basico,27,18.5,1,30.26,10,1180.88,No
NC-00055,Felicidad Roda Reig,Sevilla,2023-01-16,31,Basico,42,11.5,1,34.59,7,1814.97,No
NC-00056,Teresa Balaguer Cabello,Pontevedra,2023-07-06,67,Estandar,36,34.6,1,53.35,7,2585.3,No
NC-00057,Heriberto Nicolau Canales,Vizcaya,2025-09-16,26,Basico,10,14.7,1,39.6,7,928.39,No
NC-00058,Clemente de Sanabria,Melilla,2023-09-25,43,Basico,33,24.1,3,39.45,6,1779.9,No
NC-00059,Héctor Español Lopez,Huesca,2021-12-18,70,Estandar,55,45.5,1,57.78,8,3878.24,No
NC-00060,Diana Benet Salazar,Tarragona,2021-10-11,19,Basico,57,11.2,1,26.8,7,1504.2,Si
NC-00061,Ariel de Alcolea,Ceuta,2024-09-16,37,Basico,22,16.2,6,21.54,4,466.61,Si
NC-00062,Renato Guzmán Delgado,Zamora,2024-06-02,45,Estandar,25,26.2,2,51.36,7,1299.09,Si
NC-00063,Julieta Teruel García,Huelva,2022-08-12,64,Estandar,47,47.2,3,63.37,6,3772.78,No
NC-00064,Yaiza Barral Cózar,Las Palmas,2026-03-08,24,Basico,4,21.7,2,33.75,9,553.38,No
NC-00065,Abril Portero Lara,Córdoba,2022-11-22,61,Premium,43,123.6,1,99.83,7,5545.19,No
NC-00066,Eloísa Rocha Torrecilla,Vizcaya,2021-08-13,25,Estandar,59,47.3,2,50.5,6,3588.45,No
NC-00067,Claudio Martin Gelabert,Ávila,2024-03-12,64,Estandar,28,34.2,3,56.44,7,1546.67,Si
NC-00068,Luis Miguel Barrera Mir,Pontevedra,2023-09-24,52,Estandar,33,27.0,2,64.54,7,2871.51,No
NC-00069,Amador Tapia Valverde,Córdoba,2024-11-10,31,Premium,20,62.0,1,90.72,7,1851.43,Si
NC-00070,Camila Barberá,Álava,2021-12-09,34,Estandar,55,11.9,4,49.83,6,3368.82,No
NC-00071,Anita Estevez,Ourense,2024-01-24,53,Estandar,29,46.9,2,59.13,6,2374.99,No
