id_cliente,nombre_cliente,ciudad,fecha_registro,edad,plan_contratado,antiguedad_meses,uso_datos_gb,num_llamadas_soporte,cargo_mensual,satisfaccion_cliente,valor_vida_cliente,abandono
NC-00001,Albano Llopis Hierro,Alicante,2025-08-30,56,Basico,10,16.4,4,30.13,4,327.42,Si
NC-00002,Buenaventura de Bonet,Badajoz,2024-09-15,69,Estandar,22,48.2,1,45.18,8,1077.65,Si
NC-00003,Ileana Antón-Andrés,Valencia,2023-12-30,46,Estandar,30,51.0,2,59.5,6,2510.68,No
NC-00004,César Guerrero Vazquez,Palencia,2021-12-12,32,Estandar,55,31.4,1,63.76,8,4299.52,No
NC-00005,Alba Mar Flor Rivas,Jaén,2022-10-21,60,Estandar,44,44.3,2,59.46,7,3321.44,No
NC-00006,Jacobo del Agudo,Huesca,2024-07-19,25,Basico,23,19.7,3,35.55,6,1242.95,No
NC-00007,Paco Rocamora Nieto,Melilla,2023-12-18,38,Estandar,31,30.1,4,62.7,6,2664.55,No
NC-00008,Casemiro Garrido-Navarro,Jaén,2025-06-03,56,Premium,13,119.7,0,95.2,9,2336.57,No
NC-00009,Arturo Pinto Caballero,Melilla,2022-12-16,36,Basico,43,21.6,0,29.56,9,1276.76,Si
NC-00010,Soraya Núñez Lamas,Huelva,2022-11-29,40,Estandar,43,66.3,2,62.4,6,3430.52,No
NC-00011,Pánfilo Segovia Casanovas,Madrid,2026-02-05,28,Basico,5,15.9,1,32.48,7,519.88,No
NC-00012,Ani Marcos Pardo,Pontevedra,2023-12-21,28,Estandar,30,,6,59.51,4,1758.34,Si
NC-00013,Celia Baños-Arroyo,Málaga,2023-02-04,41,Estandar,41,48.3,3,60.31,6,3197.4,No
NC-00014,Rolando del Bernal,León,2023-01-13,70,Estandar,42,48.0,1,56.06,7,2321.73,Si
NC-00015,Toribio de Pinto,Ceuta,2022-11-06,53,Basico,44,19.5,3,35.7,8,2009.9,No
NC-00016,Javi Patiño-Cánovas,Málaga,2022-12-01,57,Estandar,43,47.8,2,62.78,8,3421.04,No
NC-00017,Felicidad Gallego Lasa,Castellón,2023-07-27,41,Basico,35,14.6,1,24.78,8,1172.34,No
NC-00018,Marco Donoso Hierro,Cádiz,2022-07-16,20,Basico,48,19.9,4,30.04,4,1767.88,No
NC-00019,Jerónimo Pino Lerma,Huesca,2021-11-22,39,Basico,55,10.7,3,31.54,7,2078.78,No
